Cell,Type
A20huNucEpPt19NCLTSOP1BIO,Pvalb_Sulf1
B07huNucEpPt19NCLTSOP3BIO,Sst_Nos1
B19huNucEpPt19NCLTSOP1BIO,Sst_Calb1
C15huNucEpPt19NCLTSOP1BIO,Sst_Calb1
A05huNucEpPt19NCNeuNLTSOP1,Sst_Nos1
A07huNucEpPt19NCNeuNLTSOP1,Id2_Lamp5_Crh
A15huNucEpPt19NCNeuNLTSOP2,Sst_Tac3
A16huNucEpPt19NCNeuNLTSOP2,Sst_Tac3
B20huNucEpPt19NCNeuNLTSOP2,Sst_Nos1
C10huNucEpPt19NCNeuNLTSOP1,Id2_Lamp5_Nos1
C18huNucEpPt19NCNeuNLTSOP2,Id2_Lamp5_Nos1
C24huNucEpPt19NCNeuNLTSOP3,Id2_Lamp5_Crh
D18huNucEpPt19NCNeuNLTSOP2,Id2_Lamp5_Nos1
D21huNucEpPt19NCNeuNLTSOP3,Id2_Lamp5_Crh
E04huNucEpPt19NCNeuNLTSOP1,Id2_Lamp5_Nos1
E06huNucEpPt19NCNeuNLTSOP1,Vip_Nrg1
E13huNucEpPt19NCNeuNLTSOP2,Pvalb_Nos1
F17huNucEpPt19NCNeuNLTSOP2,Sst_Nos1
G03huNucEpPt19NCNeuNLTSOP1,Sst_Nos1
H07huNucEpPt19NCNeuNLTSOP1,Vip_Sema3c
H08huNucEpPt19NCNeuNLTSOP1,Id2_Lamp5_Nos1
H22huNucEpPt19NCNeuNLTSOP3,Id2_Lamp5_Nos1
A03huNucEpPt19NCNeuNLTSOP3,Id2_Lamp5_Nos1
A08huNucEpPt19NCNeuNLTSOP4,Id2_Lamp5_Nos1
A13huNucEpPt19NCMGELTSOPX,Sst_Calb1
E08huNucEpPt19NCNeuNLTSOP4,Id2_Lamp5_Nos1
G05huNucEpPt19NCNeuNLTSOP4,Id2_Pax6
G09huNucEpPt19NCNeuNLTSOP4,Id2_Lamp5_Nos1
H06huNucEpPt19NCNeuNLTSOP4,Id2_Lamp5_Crh
H08huNucEpPt19NCNeuNLTSOP4,Sst_Calb1
F13HB47NeoCP9,Vip_Sstr1
A09170707P3,Sst_Tac3
B02170707P3,Pvalb_Sulf1
C04170707P3,Sst_Nos1
F09170707P2,Pvalb_Sulf1
A05170918P3,Pvalb_Lgr5
A09170918P2,Sst_Tac1
B09170918P2,Sst_Tac1
C04170918P3,Pvalb_Sulf1
E01170918P3,Sst_Calb1
B09MGE171027P3,Sst_Nos1
C01MGE171027P1,Sst_Calb1
C02MGE171027P1,Sst_Tac3
E08CGE171115P1,Sst_Tac3
E11MGE171027P3,Sst_Stk32a
F08CGE171115P1,Sst_Nos1
H01MGE171027P1,Sst_Tac3
H08CGE171115P1,Pvalb_Sulf1
H10MGE171027P3,Id2_Nckap5
A05HB47NeoCP4,Sst_Tac3
A07HB47NeoCP1,Vip_Abi3bp
A08HB47NeoCP4BSA,Id2_Nckap5
A09HB47NeoCP6BSA,Pvalb_Sulf1
A13HB47NeoCP7Add,Vip_Sema3c
A15HB47NeoCP6BSA,Vip_Crh
